geotype,geoid,geoname,gwvoteimp,priority
county,1001,"Autauga County, Alabama",48.44,41.11
county,1003,"Baldwin County, Alabama",49.90,40.49
county,1005,"Barbour County, Alabama",49.77,49.56
county,1007,"Bibb County, Alabama",42.90,37.77
county,1009,"Blount County, Alabama",43.64,34.09
county,1011,"Bullock County, Alabama",51.46,56.04
county,1013,"Butler County, Alabama",47.78,46.02
county,1015,"Calhoun County, Alabama",47.85,42.29
county,1017,"Chambers County, Alabama",47.14,45.26
county,1019,"Cherokee County, Alabama",43.44,36.07
county,1021,"Chilton County, Alabama",46.35,37.77
county,1023,"Choctaw County, Alabama",48.58,47.80
county,1025,"Clarke County, Alabama",49.42,46.88
county,1027,"Clay County, Alabama",45.37,39.26
county,1029,"Cleburne County, Alabama",49.42,39.10
county,1031,"Coffee County, Alabama",45.41,39.17
county,1033,"Colbert County, Alabama",48.42,42.36
county,1035,"Conecuh County, Alabama",48.23,47.45
county,1037,"Coosa County, Alabama",49.21,45.03
county,1039,"Covington County, Alabama",43.80,38.06
county,1041,"Crenshaw County, Alabama",51.94,45.14
county,1043,"Cullman County, Alabama",42.60,33.95
county,1045,"Dale County, Alabama",46.12,41.74
county,1047,"Dallas County, Alabama",53.73,54.83
county,1049,"Dekalb County, Alabama",46.72,41.08
county,1051,"Elmore County, Alabama",47.16,40.35
county,1053,"Escambia County, Alabama",45.13,41.35
county,1055,"Etowah County, Alabama",46.06,40.87
county,1057,"Fayette County, Alabama",42.19,36.70
county,1059,"Franklin County, Alabama",45.90,38.73
county,1061,"Geneva County, Alabama",43.17,35.42
county,1063,"Greene County, Alabama",60.00,61.11
county,1065,"Hale County, Alabama",61.96,54.70
county,1067,"Henry County, Alabama",46.24,42.05
county,1069,"Houston County, Alabama",49.27,45.46
county,1071,"Jackson County, Alabama",48.06,33.75
county,1073,"Jefferson County, Alabama",53.20,53.08
county,1075,"Lamar County, Alabama",44.48,34.32
county,1077,"Lauderdale County, Alabama",52.83,45.58
county,1079,"Lawrence County, Alabama",42.62,36.37
county,1081,"Lee County, Alabama",53.27,50.33
county,1083,"Limestone County, Alabama",44.93,39.67
county,1085,"Lowndes County, Alabama",57.68,56.13
county,1087,"Macon County, Alabama",56.27,61.46
county,1089,"Madison County, Alabama",50.92,47.26
county,1091,"Marengo County, Alabama",49.82,52.21
county,1093,"Marion County, Alabama",42.83,36.08
county,1095,"Marshall County, Alabama",43.33,37.59
county,1097,"Mobile County, Alabama",50.30,46.17
county,1099,"Monroe County, Alabama",52.29,49.49
county,1101,"Montgomery County, Alabama",52.89,56.16
county,1103,"Morgan County, Alabama",45.99,37.81
county,1105,"Perry County, Alabama",53.83,56.47
county,1107,"Pickens County, Alabama",47.32,46.75
county,1109,"Pike County, Alabama",54.94,50.00
county,1111,"Randolph County, Alabama",44.67,39.15
county,1113,"Russell County, Alabama",50.39,48.68
county,1115,"St. Clair County, Alabama",44.87,38.48
county,1117,"Shelby County, Alabama",54.77,47.14
county,1119,"Sumter County, Alabama",55.12,57.79
county,1121,"Talladega County, Alabama",51.86,43.46
county,1123,"Tallapoosa County, Alabama",48.35,42.73
county,1125,"Tuscaloosa County, Alabama",51.75,45.16
county,1127,"Walker County, Alabama",51.18,34.08
county,1129,"Washington County, Alabama",52.85,36.26
county,1131,"Wilcox County, Alabama",53.39,56.62
county,1133,"Winston County, Alabama",46.23,37.14
county,2013,"Aleutians East Borough, Alaska",54.80,52.49
county,2016,"Aleutians West Census Area, Alaska",56.64,52.07
county,2020,"Anchorage Municipality, Alaska",59.80,56.48
county,2050,"Bethel Census Area, Alaska",59.72,59.77
county,2060,"Bristol Bay Borough, Alaska",55.13,53.13
county,2063,"Chugach Census Area, Alaska",55.95,53.45
county,2066,"Copper River Census Area, Alaska",55.37,53.00
county,2068,"Denali Borough, Alaska",63.23,53.13
county,2070,"Dillingham Census Area, Alaska",57.56,58.15
county,2090,"Fairbanks North Star Borough, Alaska",56.58,50.50
county,2100,"Haines Borough, Alaska",58.38,59.00
county,2105,"Hoonah-Angoon Census Area, Alaska",64.63,64.95
county,2110,"Juneau City And Borough, Alaska",61.74,63.41
county,2122,"Kenai Peninsula Borough, Alaska",56.90,50.98
county,2130,"Ketchikan Gateway Borough, Alaska",56.61,54.14
county,2150,"Kodiak Island Borough, Alaska",55.94,54.58
county,2158,"Kusilvak Census Area, Alaska",59.45,59.45
county,2164,"Lake And Peninsula Borough, Alaska",58.58,60.13
county,2170,"Matanuska-Susitna Borough, Alaska",51.53,47.89
county,2180,"Nome Census Area, Alaska",58.20,59.19
county,2185,"North Slope Borough, Alaska",61.54,55.98
county,2188,"Northwest Arctic Borough, Alaska",56.76,56.77
county,2195,"Petersburg Borough, Alaska",56.48,56.17
county,2198,"Prince of Wales-Hyder Census Area, Alaska",59.06,58.38
county,2220,"Sitka City And Borough, Alaska",65.16,63.68
county,2230,"Skagway Municipality, Alaska",65.59,64.74
county,2240,"Southeast Fairbanks Census Area, Alaska",52.93,47.03
county,2275,"Wrangell City And Borough, Alaska",54.65,52.98
county,2282,"Yakutat City And Borough, Alaska",57.39,57.62
county,2290,"Yukon-Koyukuk Census Area, Alaska",63.42,63.70
county,4001,"Apache County, Arizona",60.42,49.07
county,4003,"Cochise County, Arizona",53.46,48.52
county,4005,"Coconino County, Arizona",58.60,51.97
county,4007,"Gila County, Arizona",46.42,45.71
county,4009,"Graham County, Arizona",48.82,45.07
county,4011,"Greenlee County, Arizona",50.79,47.56
county,4012,"La Paz County, Arizona",49.38,44.97
county,4013,"Maricopa County, Arizona",54.00,52.68
county,4015,"Mohave County, Arizona",47.37,42.60
county,4017,"Navajo County, Arizona",54.21,47.93
county,4019,"Pima County, Arizona",64.20,61.64
county,4021,"Pinal County, Arizona",52.07,48.42
