geoname,COUNTY,STATE,STATEABBRV,RISK_SCORE,gwvoteimp,estimate,pct_harris
"Autauga County, Alabama",Autauga,Alabama,AL,49.22048998,48.44,69841,26.303878929316504
"Baldwin County, Alabama",Baldwin,Alabama,AL,97.70919504,49.9,75019,20.396076859524413
"Barbour County, Alabama",Barbour,Alabama,AL,56.18835507,49.77,44290,42.19178082191781
"Bibb County, Alabama",Bibb,Alabama,AL,32.48488705,42.9,51215,17.489467430052933
"Blount County, Alabama",Blount,Alabama,AL,65.12885778,43.64,61096,9.146752831729573
"Bullock County, Alabama",Bullock,Alabama,AL,32.45307031,51.46,36723,72.56142057893456
"Butler County, Alabama",Butler,Alabama,AL,54.05663379,47.78,44881,38.3372641509434
"Calhoun County, Alabama",Calhoun,Alabama,AL,84.37798282,47.85,55826,27.118574394179188
"Chambers County, Alabama",Chambers,Alabama,AL,42.34807509,47.14,49295,37.94313794313794
"Cherokee County, Alabama",Cherokee,Alabama,AL,42.06172447,43.44,50769,11.940642780255267
"Chilton County, Alabama",Chilton,Alabama,AL,58.54279351,46.35,61873,13.651773516166575
"Choctaw County, Alabama",Choctaw,Alabama,AL,74.3557111,48.58,44483,37.78545673076923
"Clarke County, Alabama",Clarke,Alabama,AL,72.09672288,49.42,49167,41.20254223114233
"Clay County, Alabama",Clay,Alabama,AL,22.36716513,45.37,51852,14.674153982562435
"Cleburne County, Alabama",Cleburne,Alabama,AL,22.55806554,49.42,53319,7.9074630767219976
"Coffee County, Alabama",Coffee,Alabama,AL,89.08685969,45.41,64672,20.614722881849545
"Colbert County, Alabama",Colbert,Alabama,AL,71.90582246,48.42,56736,26.27761413843888
"Conecuh County, Alabama",Conecuh,Alabama,AL,47.53420299,48.23,42266,42.63758056519583
"Coosa County, Alabama",Coosa,Alabama,AL,7.508749602,49.21,57063,28.056188306757782
"Covington County, Alabama",Covington,Alabama,AL,88.70505886,43.8,50886,13.536121673003802
"Crenshaw County, Alabama",Crenshaw,Alabama,AL,46.26153357,51.94,49040,22.463768115942027
"Cullman County, Alabama",Cullman,Alabama,AL,69.64683423,42.6,60916,9.361238585268623
"Dale County, Alabama",Dale,Alabama,AL,79.66910595,46.12,53955,23.428601285333613
"Dallas County, Alabama",Dallas,Alabama,AL,57.84282533,53.73,36810,65.83906863060398
"Dekalb County, Alabama",DeKalb,Alabama,AL,69.42411709,46.72,51149,12.670262980445044
"Elmore County, Alabama",Elmore,Alabama,AL,57.27012409,47.16,75553,23.481645204689602
"Escambia County, Alabama",Escambia,Alabama,AL,91.37766465,45.13,44447,26.502640903924583
"Etowah County, Alabama",Etowah,Alabama,AL,82.24626153,46.06,53070,21.73309924789215
"Fayette County, Alabama",Fayette,Alabama,AL,29.3986637,42.19,50733,13.645596845501254
"Franklin County, Alabama",Franklin,Alabama,AL,65.47884187,45.9,51493,12.96189137802761
"Geneva County, Alabama",Geneva,Alabama,AL,65.54247534,43.17,50951,11.216837351826465
"Greene County, Alabama",Greene,Alabama,AL,18.04008909,60,31495,77.56870512503095
"Hale County, Alabama",Hale,Alabama,AL,33.1530385,61.96,41325,52.95003422313484
"Henry County, Alabama",Henry,Alabama,AL,49.88864143,46.24,60135,24.281115879828327
"Houston County, Alabama",Houston,Alabama,AL,90.67769647,49.27,57531,25.596969491984037
