County,STATE,ZCTA5CE10,INTPTLAT10,INTPTLON10,BUI,PctPark,fips,popDens,propPOC,POC,Race,medAge,totPop,Urban,Covid19,NDVI,propWht,medInc,Arid,Days
Honolulu,Hawaii,96701,+21.4060530,-157.8849518,0,9.0405012978,15003,8.25818518911e-4,0.889141670169886,POC majority,Other,40.7,40439,Urban,1008.9270258908479,0.673,0.110858329830115,95223,0.6008,230
Kauai,Hawaii,96703,+22.1455784,-159.3856809,0,24.31762438,15007,4.3049389366e-5,0.878294202204121,POC majority,Other,39.8,2087,Rural,479.1566842357451,0.764,0.121705797795879,59833,1.6914001,222
Hawaii,Hawaii,96704,+19.3372688,-155.8376215,0,6.6237900692,15001,1.0665066255e-5,0.665607927836361,POC majority,Other,44.5,7871,Rural,228.6875873459535,0.44,0.334392072163639,52714,1.4448,219
Kauai,Hawaii,96705,+21.8995324,-159.5685455,0,20.40718296,15007,3.80782697574e-4,0.887417218543046,POC majority,Other,35.4,2869,Rural,348.5535029627048,0.675,0.112582781456954,79000,0.3416,222
Honolulu,Hawaii,96706,+21.3447820,-158.0222980,0,9.9619579145,15003,0.001645588825539,0.846426461901949,POC majority,Other,34.8,72799,Urban,1008.2556079067019,0.534,0.153573538098051,101147,0.4587,230
Honolulu,Hawaii,96707,+21.3631058,-158.0822064,0,10.84537024,15003,4.26874269372e-4,0.835481045915176,POC majority,Other,32.7,47958,Urban,865.3405062763251,0.557,0.164518954084824,100739,0.6394,230
Maui,Hawaii,96708,+20.8523889,-156.2235622,0,2.8287808894,15009,4.0489773599e-5,0.456995020989944,White majority,White,43.6,10243,Rural,214.78082592990333,0.734,0.543004979010056,86117,1.272,221
Honolulu,Hawaii,96712,+21.6213665,-158.0480108,0,6.9995481115,15003,1.41239401008e-4,0.426930693069307,White majority,White,38.3,7575,Rural,343.2343234323432,0.708,0.573069306930693,89241,0.6686,230
Kauai,Hawaii,96716,+22.0492751,-159.5924185,0,45.930719933,15007,1.0714760356e-5,0.836016096579477,POC majority,Other,41.4,2982,Rural,0,0.7,0.163983903420523,74776,0.744,222
Honolulu,Hawaii,96717,+21.5577941,-157.9053398,0,28.597405765,15003,7.9887861527e-5,0.8003108003108,POC majority,Other,31.8,5148,Rural,621.6006216006216,0.77,0.1996891996892,84013,1.3026,230
Hawaii,Hawaii,96719,+20.2112561,-155.8518576,0,12.839924324,15001,3.2181988958e-5,0.702115158636898,POC majority,Other,41.5,1702,Rural,587.5440658049354,0.776,0.297884841363102,64958,0.8034,219
